2016-06-17_06:01:16 1466136076 0x5; 90 rTX 4
2016-06-17_06:01:16 1466136076 0x5; 90 rTX 5
2016-06-17_06:01:16 1466136076 0x5; 90 rTX 6
2016-06-17_06:01:17 1466136077 0x5; 90 rTX 7
2016-06-17_06:01:18 1466136078 0x5; 90 rTX 8
2016-06-17_06:01:21 1466136081 0x5; 90 rTX 9
2016-06-17_06:01:26 1466136086 0x5; 90 rTX 10
2016-06-17_06:01:40 1466136100 0x5; 90 rTXERR
2016-06-17_06:03:15 1466136195 0x5; 91 rTX 0
2016-06-17_06:03:15 1466136195 0x5; 91 rTX 1
2016-06-17_06:03:15 1466136195 0x5; 91 rTX 2
2016-06-17_06:03:15 1466136195 0x5; 91 rTX 3
2016-06-17_06:03:16 1466136196 0x5; 91 rTX 4
2016-06-17_06:03:16 1466136196 0x5; 91 rTX 5
2016-06-17_06:03:16 1466136196 0x5; 91 rTX 6
2016-06-17_06:03:17 1466136197 0x5; 91 rTX 7
2016-06-17_06:03:18 1466136198 0x5; 91 rTX 8
2016-06-17_06:03:22 1466136202 0x5; 91 rTX 9
2016-06-17_06:03:27 1466136207 0x5; 91 rTX 10
2016-06-17_06:03:41 1466136221 0x5; 91 rTXERR
2016-06-17_06:05:12 1466136312 0x2; 92 rTX 0
