2016-04-24_00:41:12 1461451272 0x6 0;3,2,2,2,2,5,2,2,2,1,0,1,0,0,2,1,2,2,2,2,1,4,2,1,1-1168,532-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_00:47:12 1461451632 0x6 81;2,2,2,2,1,0,2,0,2,0,4,3,4,0,2,2,2,0,4,2,3,2,3,2,2-11ca,502-1:f3/69;0:f2/6b;0:0/0;0:0/0;0:4/6b;0:0/0;0:0/0;0:0/0;0:dd/6b;0:0/0
2016-04-24_00:49:12 1461451752 0x6 82;3,1,3,2,1,5,3,2,2,1,4,2,2,0,3,2,7,3,2,3,2,2,2,2,3-11d0,4fe-1:f4/6c;0:f2/6c;0:0/0;0:0/0;0:4/6b;0:0/0;0:0/0;0:0/0;0:dd/6b;0:0/0
2016-04-24_00:53:13 1461451993 0x6 84;3,3,3,2,2,1,3,3,3,5,6,0,3,3,2,3,3,3,3,3,3,5,3,2,4-11d8,4fa-1:f3/6b;0:f5/6c;0:0/0;0:0/0;0:4/6c;0:0/0;0:0/0;0:0/0;0:dd/6b;0:0/0
2016-04-24_00:55:12 1461452112 0x6 85;3,5,3,6,6,1,3,3,3,3,5,3,3,3,3,4,3,3,3,3,3,3,3,0,0-11de,4f8-1:f3/6c;0:f2/6a;0:0/0;0:0/0;0:4/6b;0:0/0;0:0/0;0:0/0;0:dd/66;0:0/0
2016-04-24_01:00:12 1461452412 0x6 0;5,5,4,0,7,7,4,4,5,5,4,4,3,5,4,4,5,4,4,2,8,5,5,4,5-116c,534-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_01:02:12 1461452532 0x6 89;5,5,6,6,4,5,5,5,5,5,5,5,4,5,1,4,7,6,5,4,7,5,5,6,3-11a9,51a-88:f3/6b;0:f2/6b;0:0/0;0:0/0;0:4/6a;0:0/0;0:0/0;0:0/0;0:dd/68;0:0/0
2016-04-24_01:04:12 1461452652 0x6 90;6,6,6,6,6,5,6,6,4,9,4,6,a,7,5,7,6,6,6,6,4,9,5,5,6-11bf,508-1:f3/6c;0:f2/6b;0:0/0;0:0/0;0:4/6b;0:0/0;0:0/0;0:0/0;0:dd/68;0:0/0
2016-04-24_01:06:13 1461452773 0x6 91;7,7,a,7,7,7,6,4,b,7,7,5,7,3,9,6,7,9,9,7,5,8,6,5,7-11ca,502-1:f3/6a;0:f2/6b;0:0/0;0:0/0;0:4/6b;0:0/0;0:0/0;0:0/0;0:dd/69;0:0/0
2016-04-24_01:08:13 1461452893 0x6 92;8,8,9,9,7,8,a,a,8,9,9,d,8,9,8,9,8,9,7,b,7,8,9,6,6-11d1,4fe-1:f3/6a;0:f4/6c;0:0/0;0:0/0;0:4/6b;0:0/0;0:0/0;0:0/0;0:dd/6b;0:0/0
2016-04-24_01:10:13 1461453013 0x6 93;a,9,a,9,9,8,a,8,a,7,a,9,7,9,a,9,9,7,a,8,8,a,d,c,a-11d6,4fb-1:f3/68;0:f2/6c;0:0/0;0:0/0;0:4/6c;0:0/0;0:0/0;0:0/0;0:dd/6b;0:0/0
2016-04-24_01:12:12 1461453132 0x6 94;b,e,c,b,b,b,c,c,b,b,c,f,b,b,b,b,c,b,b,a,f,a,5,a,7-11d9,4f8-1:f3/6b;0:f2/6c;0:0/0;0:0/0;0:4/6a;0:0/0;0:0/0;0:0/0;0:dd/68;0:0/0
2016-04-24_01:14:12 1461453252 0x6 95;d,e,c,9,d,d,d,d,d,c,d,d,9,d,d,d,a,e,a,12,b,c,c,d,9-11db,4f7-1:f4/6b;0:f4/6c;0:0/0;0:0/0;0:4/6b;0:0/0;0:0/0;0:0/0;0:dc/6a;0:0/0
2016-04-24_02:45:12 1461458712 0x6 141;a4,ae,a8,aa,a9,a9,a4,a9,a5,a9,a9,aa,aa,a4,a9,a9,a8,a8,a9,a9,a8,a9,a9,a9,a7-1293,4e2-0:f3/6a;0:f2/6b;0:0/0;0:0/0;0:4/6c;0:0/0;0:0/0;0:0/0;0:dc/68;0:0/0
2016-04-24_02:49:12 1461458952 0x6 143;c0,c0,c2,c2,bd,c0,bd,c2,c4,c2,c1,c3,c2,c1,bc,be,c3,c0,c1,bf,c3,bd,c5,c1,c1-128f,4e2-0:f3/6b;0:f2/6c;0:0/0;0:0/0;0:3/6b;0:0/0;0:0/0;0:0/0;0:dc/6b;0:0/0
2016-04-24_02:54:12 1461459252 0x6 0;dc,dc,db,de,db,db,de,dd,dd,dd,de,dd,dd,dc,e2,dc,dc,dd,dc,dc,dc,de,db,d7,dc-121c,51e-0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0;0:0/0
2016-04-24_03:08:12 1461460092 0x6 153;146,145,145,146,14a,145,14f,145,144,144,145,146,144,143,145,144,145,147,144,145,150,147,13d,146,146-1366,4da-0:f3/68;0:f2/6c;0:0/0;0:0/0;0:3/6b;0:0/0;0:0/0;0:0/0;0:db/6a;0:0/0
