2016-05-08_09:00:21 1462690821 0xB, A 187 1197.04 1173.94-0.13
2016-05-08_09:01:43 1462690903 0xB, 9 189 1218.07 1173.28-0.26
2016-05-08_09:02:21 1462690941 0xB, A 188 1196.40 1173.34-0.13
2016-05-08_09:03:43 1462691023 0xB, 9 190 1218.52 1174.68-0.25
2016-05-08_09:04:21 1462691061 0xB, A 189 1197.64 1175.15-0.13
2016-05-08_09:05:43 1462691143 0xB, 9 191 1219.00 1177.07-0.24
2016-05-08_09:06:21 1462691181 0xB, A 190 1198.68 1176.44-0.13
2016-05-08_09:07:43 1462691263 0xB, 9 192 1219.71 1177.16-0.25
2016-05-08_09:08:21 1462691301 0xB, A 191 1198.31 1176.87-0.12
2016-05-08_09:09:43 1462691383 0xB, 9 193 1221.83 1178.95-0.25
2016-05-08_09:10:21 1462691421 0xB, A 192 1199.19 1178.28-0.12
2016-05-08_09:11:43 1462691503 0xB, 9 194 1222.07 1177.43-0.26
2016-05-08_09:12:21 1462691541 0xB, A 193 1197.28 1177.72-0.11
2016-05-08_09:13:43 1462691623 0xB, 9 195 1222.11 1178.43-0.25
2016-05-08_09:14:21 1462691661 0xB, A 194 1197.47 1177.87-0.11
2016-05-08_09:15:43 1462691743 0xB, 9 196 1221.35 1179.11-0.24
2016-05-08_09:16:21 1462691781 0xB, A 195 1197.52 1178.94-0.11
2016-05-08_09:17:43 1462691863 0xB, 9 197 1219.68 1179.35-0.23
2016-05-08_09:18:21 1462691901 0xB, A 196 1199.00 1180.22-0.11
2016-05-08_09:19:43 1462691983 0xB, 9 198 1221.64 1181.40-0.23
2016-05-08_09:20:21 1462692021 0xB, A 197 1201.88 1183.62-0.10
2016-05-08_09:21:43 1462692103 0xB, 9 199 1226.04 1186.68-0.23
2016-05-08_09:22:21 1462692141 0xB, A 198 1202.35 1185.62-0.09
2016-05-08_09:23:43 1462692223 0xB, 9 200 1227.35 1188.64-0.22
2016-05-08_09:24:21 1462692261 0xB, A 199 1205.04 1189.31-0.09
2016-05-08_09:25:43 1462692343 0xB, 9 201 1228.59 1188.31-0.23
2016-05-08_09:26:21 1462692381 0xB, A 200 1204.07 1189.09-0.08
2016-05-08_09:27:43 1462692463 0xB, 9 202 1228.00 1189.35-0.22
2016-05-08_09:28:21 1462692501 0xB, A 201 1203.80 1189.03-0.08
2016-05-08_09:29:43 1462692583 0xB, 9 203 1226.56 1189.04-0.21
2016-05-08_09:30:21 1462692621 0xB, A 202 1202.31 1187.94-0.08
2016-05-08_09:31:43 1462692703 0xB, 9 204 1225.76 1188.83-0.21
2016-05-08_09:32:21 1462692741 0xB, A 203 1203.19 1190.22-0.07
2016-05-08_09:33:43 1462692823 0xB, 9 205 1225.95 1189.59-0.21
